epoch,train_loss,val_loss
1,0.10039144975598902,0.04533560061827302
2,0.030965374840889126,0.020733293378725648
3,0.01625972124747932,0.012903976603411138
4,0.010707957320846617,0.008934644050896168
5,0.00847788002283778,0.008235827728640288
6,0.007589223227114417,0.006862846610601991
7,0.007063896700856276,0.005661904462613165
8,0.006202953169122338,0.005826540465932339
9,0.0058355842338642105,0.005589875101577491
10,0.005260209538391791,0.005105177115183324
11,0.0049456376291345805,0.004628102702554315
12,0.004809755017049611,0.004683206439949572
13,0.004573348400299437,0.004164901212789118
