epoch,train_loss,val_loss
1,0.10825891490094364,0.04845859808847308
2,0.03529631666606292,0.021892593475058675
3,0.018790059693856165,0.014725265325978398
4,0.012860354618169367,0.010591226629912853
5,0.009876817086478695,0.00944722886197269
6,0.007832973831682466,0.0072695924318395555
7,0.006629016628721729,0.006304815295152366
8,0.005989869838231243,0.006781310134101659
9,0.006309835109277628,0.006343955697957426
10,0.005903054145164788,0.006196235597599298
11,0.005487383372383192,0.005293700727634132
12,0.005213219454162754,0.005463594803586602
13,0.004679460223997012,0.004752288688905537
14,0.004492332285735756,0.004321681626606733
15,0.004404521270771511,0.0042862657574005425
16,0.004814861116756219,0.004505974124185741
17,0.004539788642432541,0.004455260874237865
18,0.00400890878518112,0.003915564127964899
19,0.0038144827049109153,0.003832878021057695
