epoch,train_loss,val_loss
1,0.12372947786934674,0.07241454906761646
2,0.05087436700705439,0.03955338383093476
3,0.032316349737811834,0.028090049512684345
4,0.024389709753450006,0.02153911325149238
5,0.0202405690215528,0.02026506676338613
6,0.017866154201328754,0.017539537511765957
7,0.01658765086904168,0.01638775842729956
8,0.015745483280625194,0.015541266882792115
9,0.014998762431787327,0.014914516126736999
10,0.014523681253194809,0.014577228808775544
11,0.013980186660774052,0.014284127741120756
12,0.013764955598162487,0.013964675716124475
13,0.013525694230338559,0.014064147137105465
14,0.013392985361861065,0.01376345509197563
15,0.013205169612774625,0.013549313531257212
