epoch,train_loss,val_loss
1,0.10765454301144928,0.15564336813986301
2,0.05623843485955149,0.052494834177196026
3,0.048725384403951466,0.04873782396316528
4,0.046294982777908444,0.047712127678096294
5,0.0454992800951004,0.04850594513118267
6,0.044466032297350466,0.04622174659743905
7,0.043987285695038736,0.047018157318234444
8,0.04370182892307639,0.052148287650197744
9,0.04327583825215697,0.0459736161865294
10,0.04286099877208471,0.04587662825360894
11,0.04249559692107141,0.046311093494296074
12,0.04212031653150916,0.048240742180496454
